entry,meaning,ipa,example_sentence,translated_sentence
unnecessary,"【形】不必要な, 無駄な",/ʌnˈnɛsəˌsɛri/,Using unnecessary force will only cause more harm.,不要な力を使うと、ますます害を引き起こすだけです。
goods,"【名】商品, 品物",/ɡʊdz/,He inherited all of his father's goods.,彼は父の財産をすべて相続した。
facilitate,"【動】...を促進する, 円滑にする",/fəˈsɪlɪteɪt/,Technology can facilitate communication between people who are far apart.,技術は遠く離れた人々の間のコミュニケーションを容易にすることができます。
foster,"【動】...を育成する, 促進する",/'fɑːstər/,She decided to foster a rescue dog.,彼女は保護犬を育てることに決めました。
exclusively,"【副】排他的に, 専ら",/ɪkˈskluːsɪvli/,She is exclusively focused on her career.,彼女は仕事に完全に集中しています。
verbal,"【形】口頭の, 言葉の",/'vɜr.bəl/,She has excellent verbal skills.,彼女は優れた言葉のスキルを持っています。
worthwhile,"【形】やりがいのある, 価値のある",/wɜrθˈwaɪl/,Visiting the Louvre Museum is a worthwhile experience.,ルーブル美術館を訪れることは価値のある経験です。
conglomerate,"【名】コングロマリット, 複合企業",/kənˈɡlɑmərət/,The conglomerate of rocks formed a solid structure.,岩石の塊が強固な構造を形成した。
devaluation,"【名】通貨切下げ, 価値減少",/dɪˌvæljuˈeɪʃən/,The devaluation of the currency caused prices to skyrocket.,通貨の切り下げにより物価が急騰した。
endless,"【形】終わりのない, 無限の",/ˈɛndləs/,The possibilities are endless.,可能性は無限です。
expertise,"【名】専門知識, 熟練",/ˌɛk.spɝˈtiːz/,He has extensive expertise in the field of technology.,彼はテクノロジーの分野で広範囲の専門知識を持っています。
handful,"【名】一握り, 少量",/'hænd.fʊl/,He picked up a handful of sand.,彼は砂を一握り拾い上げた。
reportedly,"【副】伝えられるところでは, 報道によると",/rɪˈpɔːrtɪdli/,"Reportedly, the company is planning to launch a new product next month.",伝えられるところによれば、その会社は来月新製品を発売する予定です。
provoke,"【動】...を引き起こす, 挑発する",/prəˈvoʊk/,His rude behavior provoked a strong reaction from the crowd.,彼の失礼な態度は群衆の強い反応を引き起こした。
quasi,"【形】準...の, 類似の",/'kweɪzɪ/,He is a quasi-scientist.,彼は疑似科学者です。
veto,【動】拒否権を行使する;【名】拒否権,/'vitoʊ/,The president has the power to veto any bill passed by Congress.,大統領は議会が可決した法案を拒否する権限を持っています。
void,【名】無効;【形】無効な,/vɔɪd/,The contract was declared void by the court.,契約は裁判所によって無効とされました。
wholesaler,【名】卸売業者,/ˈhoʊlˌseɪlər/,The wholesaler supplies products to retailers.,卸し売り業者は小売業者に商品を供給します。
unprecedented,"【形】前例のない, 未曾有の",/ʌnˈprɛsɪˌdɛntɪd/,The COVID-19 pandemic has caused unprecedented challenges for the global economy.,新型コロナウイルスのパンデミックは、世界経済にとって先例のない挑戦を引き起こしました。
unwilling,"【形】気が進まない, 嫌がる",/ʌnˈwɪlɪŋ/,She was unwilling to go to the party.,彼女はパーティーに行く気が進まなかった。
wary,"【形】慎重な, 用心深い",/'wɛri/,I am wary of strangers.,私は見知らぬ人に警戒しています。
wholly,"【副】完全に, 全く",/ˈhoʊ.li/,She is wholly committed to her work.,彼女は仕事に完全に取り組んでいます。
yuan,【名】人民元,/juːˈɑːn/,The currency of China is yuan.,中国の通貨はユアンです。
allocate,"【動】...を割り当てる, 配分する",/ˈæləˌkeɪt/,The company will allocate resources to the new project.,会社は新しいプロジェクトにリソースを割り当てます。
probe,【動】調査する;【名】探査,/prəʊb/,Scientists launched a probe to explore the outer reaches of the solar system.,科学者たちは、太陽系の外部領域を探査するために探査機を打ち上げました。
subtract,"【動】控除する, 引く",/səbˈtrækt/,"To solve this math problem, you need to subtract the second number from the first number.",この数学の問題を解くためには、第二の数を第一の数から引かなければなりません。
contemplate,"【動】熟考する, 考える",/kɒnˈtɛm.pleɪt/,I contemplate my future every day.,私は毎日将来をよく考えます。
pledge,"【名】誓約, 約束;【動】誓約する",/ plɛdʒ /,I pledge to always be there for you.,いつもあなたのそばにいることを誓います。
ledger,"【名】元帳, 台帳",/ˈlɛdʒər/,I need to update the ledger with the latest transactions.,最新の取引で元帳を更新する必要があります。
advisory,"【形】助言の, 相談の",/ədˈvaɪzəri/,The government issued an advisory to the public regarding the upcoming storm.,政府は、近日予想される嵐に関して一般市民に勧告を出しました。
customize,"【動】カスタマイズする, 特注する",/ˈkʌstəˌmaɪz/,You can customize your order to your liking.,あなたは注文どおりに作ることができます。
formulation,"【名】調合, 策定",/fɔːrˌmjʊˈleɪʃən/,The formulation of the new policy took several months.,新しい政策の策定には数ヶ月かかりました。
likelihood,"【名】可能性, 確率",/lɑɪklihʊd/,There is a high likelihood of rain tomorrow.,明日は雨の可能性が高いです。
harsh,"【形】厳しい, 過酷な",/hɑːrʃ/,The harsh winter wind cut through my coat.,厳しい冬の風が私のコートを貫いた。
locally,"【副】地域的に, 地元で",/ləʊkəli/,I love to support locally owned businesses.,地元の経営者が運営するビジネスを応援するのが好きです。
mandate,"【名】委任, 義務",/mændeɪt/,The government decided to issue a mandate requiring all citizens to wear face masks in public places during the pandemic.,政府は、パンデミック時に公共の場ですべての国民にフェイスマスクの着用を義務付けることを決定した。
underwrite,"【動】...を引き受ける, 保険を引き受ける",/ʌndərˈraɪt/,The bank underwrote the loan.,銀行はローンを担保した。
disposition,"【名】性質, 気質",/dɪsˌpəˈzɪʃən/,Her cheerful disposition always brightens up the room.,彼女の陽気な性格はいつも部屋を明るくします。
lifetime,"【名】生涯, 寿命",/ˈlaɪfˌtaɪm/,The memories we create last a lifetime.,私たちが作り出す思い出は一生続く。
rigid,"【形】硬直した, 融通が利かない",/ˈrɪdʒɪd/,The metal rod is rigid and cannot be bent.,金属の棒は固くて曲げることができません。
sensitivity,"【名】感度, 感受性",/sɛnˈsɪtɪvəti/,She has a high sensitivity to noise.,彼女は騒音に対して高い敏感さを持っています。
takeover,"【名】買収, 乗っ取り",/ˈteɪkˌoʊvər/,The company announced a takeover of its competitor.,会社は競合他社の奮取を発表しました。
deliberate,"【形】故意の, 意図的な;【動】熟考する",/dɪˈlɪbərət/,He made a deliberate decision to quit his job.,彼は故意に仕事を辞める決断をした。
adverse,"【形】有害な, 不利な",/ædˈvɜːrs/,He experienced an adverse reaction to the medicine.,彼はその薬に対して副作用を経験しました。
discriminate,"【動】差別する, 区別する",/dɪˈskrɪmɪneɪt/,It is important to treat everyone equally and not discriminate based on their race or gender.,人種や性別に基づいて差別することなく、みんなを平等に扱うことが重要です。
inspection,"【名】検査, 点検",/ɪnˈspɛkʃən/,The inspection of the building revealed several safety violations.,建物の調査でいくつかの安全違反が明らかになりました。
repertoire,"【名】レパートリー, 演目",/rɛpərˈtwɑr/,She has a wide repertoire of songs.,彼女は幅広い曲目のレパートリーを持っています。
exert,"【動】(力を)行使する, 及ぼす",/ɪɡˈzɜːrt/,She exerted all her energy to finish the race.,彼女はレースを終えるために全力を尽くした。
interfere,"【動】干渉する, 邪魔をする",/ˌɪn.tərˈfɪər/,I don't want to interfere in their personal matters.,私は彼らの個人的な問題に干渉したくない。
vulnerable,"【形】傷つきやすい, 脆弱な",/ˈvʌlnərəbəl/,She is a vulnerable person.,彼女は傷つきやすい人です。
defect,"【名】欠陥, 欠点",/dɪˈfɛkt/,There is a defect in the product.,製品に欠陥があります。
render,"【動】...を与える, 変える",/ˈrɛndər/,The artist used vibrant colors to render the scene more realistic.,芸術家は鮮やかな色を使って、シーンをよりリアルに描写しました。
secular,"【形】世俗の, 非宗教的な",/'sɛkjʊlər/,He has a secular view of life.,彼は人生に対して世俗的な見方を持っている。
denote,"【動】...を示す, 意味する",/dɪˈnoʊt/,The red color denotes danger.,赤色は危険を示す。
impact,"【名】影響, 効果",/ˈɪmpækt/,The earthquake had a significant impact on the city.,地震は市に大きな衝撃を与えました。
query,"【名】質問, 問い合わせ;【動】質問する",/'kwɪəri/,I have a query about the new product.,新製品についての質問があります。
plague,"【名】疫病, 災害;【動】悩ます",/pleɪɡ/,"The plague swept through the city, causing widespread panic.",ペストが市内に広がり、広範なパニックを引き起こしました。
explicitly,"【副】明確に, 明示的に",/ɪkˈsplɪsɪtli/,She explicitly stated her opinion during the meeting.,彼女は会議中に明示的に自分の意見を述べました。
projection,"【名】予測, 推測",/prəˈdʒɛkʃən/,The projection on the wall was clear and vivid.,壁に映し出された投影ははっきりと鮮明でした。
chancellor,"【名】首相, 総長",/ˈtʃænsələr/,The chancellor is responsible for leading the government.,首相は政府を指導する責任があります。
script,"【名】脚本, スクリプト",/skrɪpt/,The actor memorized the script for the play.,俳優は演劇の台本を暗記しました。
elaborate,"【動】詳しく述べる, 詳細に説明する",/ɪˈlæbəreɪt/,Could you please elaborate on your idea?,あなたのアイデアについて詳しく説明していただけますか？
vague,"【形】曖昧な, はっきりしない",/veɪɡ/,Her explanation was vague and unclear.,彼女の説明は曖昧で分かりにくかった。
concede,"【動】認める, 受け入れる",/kənˈsiːd/,He finally conceded defeat and congratulated his opponent.,彼はついに敗北を認め、相手を祝福した。
interact,"【動】相互に作用する, 交流する",/ɪntərˈækt/,I love to interact with people from different cultures.,私は異なる文化の人々と交流するのが好きです。
empirical,"【形】経験的な, 実証的な",/ɪmˈpɪrɪkəl/,The scientist gathered empirical data to support her hypothesis.,その科学者は仮説を支持するために実験的なデータを集めました。
qualitative,"【形】質的な, 性質に関する",/kwɒlɪˈteɪtɪv/,The researcher conducted a qualitative study to gather in-depth information.,研究者は詳細な情報を集めるために質的な研究を行った。
retrieve,"【動】取り戻す, 回収する",/rɪˈtriːv/,The police managed to retrieve the stolen goods.,警察は盗まれた商品を取り戻すことに成功しました。
entail,"【動】...を伴う, 含む",/ɪnˈteɪl/,The decision to move to a new city entails leaving behind friends and family.,新しい街に引っ越すという決断は、友人や家族を必然的に置き去りにすることを伴います。
terror,"【名】恐怖, 恐怖感",/'tɛrər/,The terror of the unknown kept her awake at night.,未知の恐怖が彼女を夜眠れなくさせた。
successor,"【名】後継者, 継承者",/səkˈsɛsər/,He is the successor to the company.,彼はその会社の後継者です。
bundle,"【名】束, 包み;【動】束ねる",/'bʌndəl/,I bought a bundle of flowers for my mother's birthday.,私は母の誕生日に花束を買いました。
deploy,"【動】展開する, 配備する",/dɪˈplɔɪ/,We need to deploy the new software update.,新しいソフトウェアのアップデートを展開する必要があります。
intervene,"【動】介入する, 干渉する",/ˌɪntərˈviːn/,The teacher decided to intervene in the argument between the students.,先生は生徒たちの口論に干渉することを決めた。
contingency,"【名】偶発事態, 緊急事態",/kənˈtɪndʒənsi/,"In case of an unforeseen contingency, the company has a well-prepared emergency plan to ensure everyone's safety.",不測の事態が発生した場合、全員の安全を確保するために、万全の緊急対策が用意されています。
repay,"【動】返済する, 返す",/ˌriːˈpeɪ/,I need to repay my loan by the end of the month.,私は月末までにローンを返さなければなりません。
technically,【副】技術的に,/tɛkˈnɪkəli/,"Technically, I am not allowed to disclose that information.",厳密に言うと、その情報を開示することは許されていません。
surplus,"【名】余剰, 黒字",/sərˈplʌs/,The company had a surplus of funds at the end of the year.,会社は年末に資金の余剰を持っていました。
clarify,"【動】明確にする, はっきりさせる",/ˈklærəˌfaɪ/,Could you please clarify your question?,質問を明確にしていただけますか？
dividend,【名】配当金,/ˈdɪvɪdɛnd/,The company announced a dividend increase for its shareholders.,会社は株主のために配当の増加を発表しました。
steer,"【動】操縦する, 指導する",/stɪr/,He tried to steer the conversation away from controversial topics.,彼は議論の的となる話題から会話をそらそうとした。
coordinate,"【動】...を調整する, 協力する",/koʊˈɔrdɪneɪt/,I need you to coordinate with the other team members and ensure we complete the project [[on time]].,他のチームメンバーとの調整を行い、時間内にプロジェクトを完了させてほしい。
patent,"【名】特許, 専売権",/'peɪtnt/,He filed a patent for his invention.,彼は彼の発明の特許を申請しました。
assemble,"【動】...を組み立てる, 集める",/əˈsɛmbəl/,We need to assemble a team of experts for this project.,このプロジェクトのために、専門家のチームを集める必要があります。
persistent,"【形】持続する, しつこい",/pɚˈsɪstənt/,She was persistent in pursuing her dreams.,彼女は夢を追い求めることにあくまでもやり抜いた。
explode,"【動】爆発する, 破裂する",/ɪkˈspləʊd/,The fireworks exploded in the night sky.,花火が夜空で爆発した。
entrepreneur,"【名】起業家, 事業家",/ˌɑn.trə.prəˈnɝ/,She is a successful entrepreneur.,彼女は成功した起業家です。
spy,"【名】スパイ, 諜報員",/spaɪ/,The spy was caught in the act of espionage.,スパイがスパイ行為を行っているところを捕まえられた。
dose,"【名】投薬, 一回分",/dəʊs/,The doctor prescribed a dose of medication for the patient.,医師は患者に薬の服用量を処方しました。
arguably,"【副】おそらく, 多分",/ˈɑːrɡjʊəbli/,He is arguably the best player in the world.,彼はまず間違いなく世界で最も優れた選手だ。
plausible,"【形】もっともらしい, ありそうな",/ˈplɔːzəbəl/,His explanation sounded plausible.,彼の説明はもっともらしかった。
hostile,"【形】敵対的な, 敵意のある",/'hɒstaɪl/,The two countries have been in a hostile relationship for decades.,二つの国は何十年も敵対的な関係にある。
debit,"【名】借方, デビット",/'dɛbɪt/,The accountant calculated the company's credits and debits.,会計士はその会社の貸方と借方を計算しました。
defy,"【動】反抗する, 無視する",/dɪˈfaɪ/,They defied the policeman's order.,彼らはその警官の命令を無視した。
discretion,"【名】裁量, 判断",/dɪˈskrɛʃən/,Please use your discretion when sharing personal information.,個人情報を共有する際は、ご自身の判断で行ってください。
prosecute,"【動】起訴する, 告訴する",/prəˈsɛkjuːt/,The district attorney agreed to prosecute the suspect for embezzlement.,地方検事は、容疑者を横領で起訴することに同意した。
migration,"【名】移住, 移動",/mɪˈɡreɪʃən/,Migration is a natural phenomenon that has been happening for centuries.,移住は何世紀も前から起こっている自然現象です。
reinforce,"【動】...を強化する, 補強する",/rɪnˈfɔːrs/,Regular exercise can help reinforce your immune system.,定期的な運動は免疫システムを増強するのに役立ちます。
induce,"【動】...を引き起こす, 誘導する",/ɪnˈduːs/,The doctor will induce labor to help the baby come out.,医者は赤ちゃんが出てくるのを助けるために分娩誘発を行います。
lessor,【名】貸し手,/'lɛsər/,The lessor is responsible for maintaining the property.,賃貸人は物件を維持する責任があります。
precedent,"【名】前例, 判例",/pɹɪˈsiː.dənt/,This case sets a precedent for future decisions.,この事件は将来の判決に先例を作る。
whereby,"【副】それによって, それに基づいて",/wɛərˈbaɪ/,Radioactivity is the process whereby unstable atomic nuclei release energetic subatomic particles.,放射能とは、不安定な原子核がエネルギーを持った素粒子を放出することによる過程である。
implicit,"【形】暗黙の, 潜在的な",/ɪmˈplɪsɪt/,Her implicit message was clear.,彼女の暗に示されたメッセージは明確だった。
reversal,"【名】逆転, 反転",/rɪˈvɜːrsəl/,The reversal of fortune was unexpected.,運命の逆転は予想外でした。
diversification,"【名】多様化, 分散投資",/dɪˌvɜːrsɪfɪˈkeɪʃən/,Diversification is important for reducing investment risk.,多様化は投資リスクを減らすために重要です。
provider,"【名】供給者, 提供者",/pɹəˈvaɪdəɹ/,The provider of the service was very helpful.,サービスの供給者はとても親切でした。
disability,"【名】障害, 無力",/dɪsəˈbɪlɪti/,My brother overcame his disability and now works as a successful attorney.,弟は障害を克服し、今は弁護士として成功しています。
denominate,"【動】...を名目にする, 名付ける",/dɪˈnɒmɪneɪt/,They denominate the new species of flower as 'Lilium magnificum'.,彼らはこの新種の花を「Lilium magnificum」と命名した。
dependency,"【名】依存, 依存状態",/dɪˈpendənsi/,The country's economic dependency on foreign aid is a concern.,外国援助に対する国の経済的な依存は懸念されています。
pharmaceutical,"【形】製薬の, 薬剤の",/fɑː(r)məˈsuːtɪkəl/,The pharmaceutical industry is rapidly growing.,製薬業界は急速に成長している。
voucher,"【名】バウチャー, クーポン",/'vaʊtʃər/,I received a voucher for a free meal at the restaurant.,私はレストランで無料の食事券をもらいました。
respondent,"【名】回答者, 応答者",/rɪˈspɒndənt/,The respondent answered all of the survey questions accurately.,回答者はすべての質問に正確に答えました。
safeguard,"【名】保護, 防衛",/ˈseɪfɡɑːrd/,The complex encryption algorithm acted as a crucial safeguard against unauthorized access to the company's confidential data.,複雑な暗号化アルゴリズムは、会社の機密データへの不正アクセスに対する重要な安全装置として機能した。
forbid,"【動】禁止する, 禁じる",/fɔrˈbɪd/,They forbid smoking in the building.,彼らは建物内での喫煙を禁じています。
mosque,"【名】モスク, イスラム教寺院",/mɒsk/,I visited a beautiful mosque with towering minarets.,私は尖塔のそびえ立つ美しいモスクを訪れました。
ongoing,"【形】進行中の, 継続している",/ˈɒnˌɡəʊɪŋ/,The construction work is ongoing.,工事は進行中です。
reformer,"【名】改革者, 革新者",/rɪˈfɔːrmər/,She is a prominent reformer in the field of education.,彼女は教育の分野で有名な改革者です。
retailer,"【名】小売業者, 小売商",/ˈriːteɪlər/,She works as a retailer in a clothing store.,彼女は洋服店で小売り商人として働いています。
skeptical,"【形】懐疑的な, 疑わしい",/skɛp.tɪ.kəl/,I am skeptical of his claims.,私は彼の主張に懐疑的です。
thereafter,"【副】その後, それ以来",/ˌðɛərˈæftər/,"He finished his work, and thereafter he went home.",彼は仕事を終えて、その後家に帰りました。
traditionally,"【副】従来, 伝統的に",/trəˈdɪʃənəli/,The festival is traditionally held every year.,その祭りは毎年伝説的に開催される。
benchmark,"【名】基準, ベンチマーク",/'bɛntʃmɑːrk/,The benchmark is used as a reference point for measurements.,ベンチマークは測定の基準点として使用されます。
desirable,"【形】望ましい, 好ましい",/dɪˈzaɪərəbəl/,It is desirable to have a healthy lifestyle.,健康的な生活を送ることが望ましいです。
dilemma,"【名】ジレンマ, 板挟み",/dɪˈlɛmə/,I was in a dilemma whether to choose the red or blue dress for the party.,パーティーのために赤いドレスと青いドレスのどちらを選ぶかで板ばさみになっていました。
copyright,"【名】著作権, 著作権保護",/ˈkɑpɪˌraɪt/,The copyright of this book belongs to the author.,この本の著作権は著者に帰属しています。
overlap,【動】重なる;【名】重複,/ˌoʊvəˈlæp/,The two circles overlap each other.,二つの円が重なり合っている。
hub,"【名】中枢, ハブ",/hʌb/,The airport is the hub of travel activity for the entire region.,空港は、地域全体の旅行活動の中心地です。
liquidity,"【名】流動性, 支払能力",/lɪˈkwɪdəti/,Investors are concerned about the liquidity of the company's assets.,投資家は、会社の資産の換金性について懸念しています。
underwriter,【名】保険引受業者,/ˈʌndərˌraɪtər/,The underwriter assessed the risk and determined the insurance premium.,保険業者はリスクを評価し、保険料を決定しました。
amortization,"【名】償却, 減価償却",/əˌmɔːr.təˈzeɪ.ʃən/,The amortization of the loan will be spread over 30 years.,ローンの償却は30年間にわたって行われます。
competency,"【名】能力, 技能",/kəmˈpɛtənsi/,She demonstrated her competency in problem-solving during the interview.,彼女は面接中に問題解決能力を示しました。
bondholder,【名】債券保有者,/bɒndˈhəʊldə/,The bondholder will receive interest payments on a quarterly basis.,債券保有者は四半期ごとに利息の支払いを受けます。
resale,"【名】再販, 転売",/ɹiˈseɪl/,The resale value of this car is quite high.,この車の再販価値はかなり高いです。
cancellation,"【名】取り消し, キャンセル",/kænˈseɪʃən/,I received a cancellation notice for my flight.,私はフライトのキャンセル通知を受け取りました。
annum,【名】年,/ˈænəm/,The company reported a profit of $1 million per annum.,その会社は年間100万ドルの利益を報告しました。
flotation,"【名】株式公開, フローテーション",/fləʊˈteɪʃən/,The life jacket provides flotation in case of emergency.,緊急時に浮力を提供する救命胴衣です。
issuance,"【名】発行, 発行額",/ˈɪsjuːəns/,The issuance of the new shares will [[take place]] next week.,新株の配給は来週行われます。
sponsorship,"【名】スポンサーシップ, 支援",/sˈpɒnsərʃɪp/,The company received sponsorship from a local business for their charity event.,その企業は、地元の企業からチャリティイベントのためのスポンサーシップを受けました。
marketplace,"【名】市場, 市場の場",/ˈmɑːrkɪtˌpleɪs/,I went to the marketplace to buy fresh vegetables.,新鮮な野菜を買うために市場に行きました。
pact,"【名】協定, 協約",/pækt/,The two countries signed a pact to promote trade and cooperation.,両国は貿易と協力を促進するために協定を締結しました。
contractual,"【形】契約の, 契約に関する",/kənˈtræktʃuəl/,The contractual agreement was signed by both parties.,契約の合意は両当事者によって署名されました。
marketer,【名】マーケティング担当者,/ˈmɑːrkɪtər/,She's a marketer for a tech company.,彼女はテクノロジー企業のマーケティング担当者です。
privatization,"【名】民営化, 民間化",/prɪˌvaɪtəˈzeɪʃən/,The government is considering the privatization of the national railway.,政府は国営鉄道の民営化を検討しています。
logistics,"【名】物流, 物資の流れ",/ləˈdʒɪstɪks/,Logistics is an important part of business operations.,物流は事業運営の重要な部分です。
integration,"【名】統合, 統一",/ˌɪntɪˈɡreɪʃən/,The integration of different departments within the company has improved communication and efficiency.,会社内の異なる部門の統合により、コミュニケーションと効率が向上しました。
audio,"【名】オーディオ, 音声",/ˈɔdi.oʊ/,The audio frequency of this radio is very clear.,このラジオの可聴周波数は非常にクリアです。
ceasefire,"【名】停戦, 休戦",/'siːsfaɪər/,The two countries agreed to a ceasefire after years of conflict.,長年にわたる紛争の後、両国は停戦に合意しました。
disruption,"【名】混乱, 中断",/dɪsˈrʌpʃən/,The sudden power outage caused a disruption in the city.,突然の停電が都市で混乱を引き起こしました。
advertiser,"【名】広告主, 広告業者",/ədˈvɜrtəzər/,The advertiser is promoting their new product through various marketing channels.,広告者はさまざまなマーケティングチャネルを通じて新製品を宣伝しています。
grid,"【名】グリッド, 電力網",/ɡrɪd/,The city streets are laid out in a grid pattern.,市の道路は格子状に配置されています。
relevance,"【名】関連性, 妥当性",/ˈrɛləvəns/,The relevance of this information is unknown.,この情報の関連性は不明である。
subjective,"【形】主観的な, 主観に基づく",/səbˈdʒɛktɪv/,Beauty is a subjective concept.,美は主観的な概念です。
ambassador,"【名】大使, 使節",/æmˈbæsədər/,The ambassador is scheduled to meet with the foreign minister tomorrow.,大使は明日、外務大臣と会う予定です。
metric,"【名】メートル法, 測定基準",/'mɛtrɪk/,The metric system is used in most countries around the world.,世界のほとんどの国でメートル法が使用されています。
homeowner,"【名】住宅所有者, 家主",/ˈhoʊmˌoʊnər/,The homeowner is responsible for maintaining the property.,家の所有者は物件のメンテナンスに責任があります。
micro,"【形】小規模な, 微小な",/ˈmaɪkroʊ/,Microorganisms are too small to be seen with the naked eye.,肉眼では見えないほど微小な生物が存在します。
analytical,"【形】分析的な, 分析の",/ˌæn.əˈlɪt̬.ɪ.kəl/,She has a highly analytical mind.,彼女は非常に分析的な考えを持っています。
capitalization,"【名】資本化, 資本総額",/kæp.ɪ.tə.lɪ.ˈzeɪ.ʃən/,Capitalization is important in formal writing.,正式な文章では大文字と小文字の使い分けが重要です。
casino,【名】カジノ,/'kæsinoʊ/,I went to the casino last night and had a great time playing blackjack.,昨夜、カジノに行ってブラックジャックを楽しみました。
outflow,"【名】流出, 流出量",/ˈaʊtˌfloʊ/,The outflow of water from the dam was significant.,ダムからの水の流出は大きかった。
hugely,"【副】非常に, 大いに",/'hjuːdʒli/,She is hugely talented.,彼女は非常に才能がある。
forecaster,"【名】予測者, 予報士",/fɔːrˈkæstər/,The weather forecaster predicted rain for tomorrow.,明日は雨が降ると天気予報の予報士が予測しました。
privatize,"【動】民営化する, 民間化する",/ˈpraɪvətaɪz/,The government has decided to privatize the company.,政府は会社を民営化することを決定した。
empowerment,"【名】エンパワーメント, 権限付与",/ɪmˈpaʊərmənt/,Education is a powerful tool for empowerment.,教育は力強いエンパワーメントの手段です。
statutory,"【形】法定の, 法律で定められた",/stæˈtʃʊəˌtɔːri/,The company is required to comply with all statutory regulations.,会社はすべての法定規制を遵守する義務があります。
receivable,"【名】売掛金, 受取債権",/rɪˈsiːvəbəl/,The company has a large amount of receivable from its customers.,会社は顧客から多額の受け取れる金額を持っています。
unsecured,"【形】無担保の, 無保証の",/ʌnsɪˈkjʊərd/,The unsecured door allowed anyone to enter the building.,施錠されていないドアは、誰でも建物に入れるようになっていた。
protester,"【名】抗議者, 反対者",/prəˈtɛstər/,The protester held up a sign and chanted slogans during the demonstration.,デモ中、抗議者は看板を掲げ、スローガンを唱えました。
attributable,"【形】帰属しうる, 原因がある",/əˈtrɪbjətəbəl/,The success of the project is attributable to the hard work of the team.,プロジェクトの成功は、チームの懸命な努力の賜物である。
clone,【名】クローン,/kləʊn/,Scientists successfully cloned a sheep.,科学者たちは成功裏に羊をクローンしました。
allegation,"【名】主張, 申し立て",/ˌæləˈɡeɪʃən/,The police are investigating the allegation that the suspect stole the car.,警察は、容疑者が車を盗んだという申し立てを捜査している。
ceiling,"【名】天井, 上限",/siːlɪŋ/,The spider was crawling on the ceiling.,クモが天井を這っていました。
,"【形】無効の, 無効とする",/nʌl/,The contract is null and void.,契約は無効です。
prolong,"【動】延長する, 長引かせる",/prəˈlɔŋ/,They decided to prolong their vacation by another week.,彼らは休暇をもう1週間延ばすことに決めました。
reliability,"【名】信頼性, 確実性",/rɪˌlaɪəˈbɪləti/,Reliability is an important factor when choosing a car.,信頼性は車を選ぶ際に重要な要素です。
simultaneously,【副】同時に,/sɪˌmʌlˈteɪniəsli/,"They were talking simultaneously, making it difficult to understand either of them.",彼らは同時に話していて、どちらの言葉も理解しにくかった。
covenant,"【名】契約, 誓約",/ˈkʌvənənt/,The two parties entered into a covenant to protect each other's interests.,両当事者は互いの利益を守るために誓約書を交わした。
compulsory,"【形】強制的な, 義務的な",/kəmˈpʌlsəri/,Wearing a seatbelt is compulsory while driving.,運転中はシートベルトの着用が強制されています。
refine,"【動】精製する, 改良する",/rɪˈfaɪn/,She refined the design of the product to make it more attractive.,彼女は製品のデザインを磨き上げてより魅力的にした。
agriculture,"【名】農業, 農耕",/ˈæɡrɪˌkʌlʧər/,Agriculture plays a vital role in the economy of many countries.,農業は多くの国々の経済で重要な役割を果たしています。
demographic,"【名】人口統計, 人口統計学",/dɛməˈɡræfɪk/,The demographic changes in the city have led to a shift in political power.,市内の人口構成の変化は政治権力の移行をもたらした。
hypothetical,"【形】仮想的な, 仮定の",/hɪˈpɒθətɪkəl/,"If I had a million dollars, I would travel around the world.",もし私が100万ドル持っていたら、世界中を旅行するだろう。
marketable,"【形】市場性のある, 売れる",/ˈmɑːrkɪtəbəl/,This product has a marketable appeal.,この製品は市場性があります。
offshore,"【形】沖合の, 海外の",/ˌɒfˈʃɔː(r)/,The company has offshore operations in several countries.,その会社は複数の国で沖合いの業務を行っています。
multiplier,"【名】乗数, 倍数",/ˈmʌltɪˌplaɪər/,The multiplier is used to calculate the total value.,乗数は合計値を計算するために使用されます。
accordance,"【名】一致, 合致",/əˈkɔːrdəns/,"In accordance with the new policy, all employees must wear masks in the office.",新しいポリシーに従って、すべての従業員はオフィスでマスクを着用しなければなりません。
accrue,"【動】...を生じる, 発生する",/əˈkruː/,Interest will accrue on the unpaid balance.,未払い残高に利息が発生します。
outfit,"【名】装備, 衣類",/ˈaʊtfɪt/,She put on a stylish outfit for the party.,彼女はパーティーのためにおしゃれな装備を身に着けた。
parliament,"【名】議会, 国会",/pɑːr.lə.mənt/,The parliament passed a new law.,議会は新しい法律を可決した。
activist,"【名】活動家, 活動者",/ˈæktɪvɪst/,The activist was arrested for protesting against the government's policies.,その積極行動主義者は、政府の政策に抗議して逮捕されました。
monopolist,"【名】独占者, 独占企業",/məˈnɒpəlɪst/,The monopolist controlled the entire market.,独占者は市場全体を支配していた。
nationalism,"【名】国家主義, 民族主義",/ˈnæʃənəlɪzəm/,Nationalism is a strong sense of love and loyalty towards one's country.,愛国心は、自国への強い愛と忠誠心のことです。
nationalist,"【名】国家主義者, 民族主義者",/næʃ(ə)nəlɪst/,He is a strong nationalist who believes in putting his country's interests above all else.,彼は国家の利益を何よりも優先すると信じる強い国家主義者です。
nationalize,"【動】国有化する, 国家管理にする",/ˈnæʃənəˌlaɪz/,The government decided to nationalize the oil industry.,政府は石油産業を国有化することを決定しました。
rightly,"【副】正当に, 正確に",/ˈraɪtli/,He rightly pointed out the flaws in the plan.,彼は正確に計画の欠点を指摘した。
